name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;oldrsa-runtime;oldrsa-result;oldrsa-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime;rsacpp-result;rsacpp-matchtime
336;0.01;False;TO;TO;0.02;False;0.09;False;0.041275034;0.32;False;0.04349646900000001;TO;TO;0.39;False;TO;TO;ERR;ERR;ERR
337;TO;TO;0.95;False;1.38;False;0.13;False;0.09903226700000001;0.14;False;0.10742559600000001;0.05;True;0.56;False;3.06;False;ERR;ERR;ERR
338;0.01;False;0.01;True;0.01;True;0.22;True;0.09287336300000001;1.19;True;0.11429259400000003;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
339;0.0;False;0.01;False;0.0;False;0.07;False;0.04334322799999999;0.09;False;0.057766898000000004;0.05;False;0.06;False;0.03;False;ERR;ERR;ERR
340;0.01;False;0.01;False;0.01;False;0.25;False;0.171583717;2.0;False;0.18801844600000006;0.05;False;0.04;False;0.04;False;ERR;ERR;ERR
341;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;TO;TO;TO;0.06;False;0.07;False;0.03;False;ERR;ERR;ERR
342;0.01;False;0.01;False;0.01;False;0.09;False;0.062594604;0.15;False;0.068090504;0.06;False;0.06;False;0.04;False;ERR;ERR;ERR
343;TO;TO;0.01;True;0.01;True;0.06;True;0.041048263999999994;0.17;True;0.130482144;0.05;True;0.48;False;0.03;True;ERR;ERR;ERR
344;ERR;ERR;0.28;False;0.01;False;0.19;False;0.10589692199999999;0.7;False;0.14520008499999992;0.14;False;ERR;ERR;0.74;False;ERR;ERR;ERR
345;0.02;True;0.0;True;0.01;True;0.25;True;0.180281482;0.52;True;0.19067285;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
346;0.01;False;0.13;False;0.19;False;0.24;False;0.16867427000000002;0.88;False;0.20540305000000003;0.07;False;0.14;False;0.25;False;ERR;ERR;ERR
347;0.01;False;0.01;False;0.01;False;0.2;False;0.152095585;0.24;False;0.16155078699999997;0.06;False;0.06;False;0.04;False;ERR;ERR;ERR
348;0.01;False;0.45;False;0.01;False;0.14;False;0.07979825700000001;0.34;False;0.09294929700000001;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
349;0.01;False;0.01;True;0.0;True;0.26;True;0.10305304300000001;8.55;True;0.1648072659999995;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
350;0.02;False;0.0;True;0.01;True;0.17;True;0.11890773000000002;0.32;True;0.145069369;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
351;0.01;False;8.97;False;6.75;False;0.51;False;0.21432903800000003;1.3;False;0.24603169400000002;1.92;False;0.05;False;4.94;False;ERR;ERR;ERR
352;0.0;False;1.56;False;0.01;False;0.18;False;0.093301425;0.95;False;0.113435917;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
353;0.01;False;0.01;False;0.01;False;0.17;False;0.080095824;2.4;False;0.08660078799999993;0.05;False;0.05;False;0.05;False;ERR;ERR;ERR
354;0.02;False;0.01;False;0.01;False;0.2;False;0.00021668499999999424;0.66;False;0.0002510669999999937;0.05;False;0.03;False;0.04;False;ERR;ERR;ERR
355;0.01;False;2.66;False;8.6;False;1.18;False;0.15008681000000001;10.54;False;0.17418069499999866;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
356;0.0;False;0.01;False;0.01;False;2.02;False;0.41058078200000003;27.43;False;0.476946777000002;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
357;0.01;False;0.01;False;0.01;False;0.04;False;2.1843000000000556e-05;0.05;False;3.098700000000315e-05;0.07;False;0.04;False;0.03;False;ERR;ERR;ERR
358;0.01;False;0.0;False;0.0;False;0.39;False;0.16771452000000003;1.23;False;0.190829515;0.06;False;0.03;False;0.04;False;ERR;ERR;ERR
359;ERR;ERR;0.01;False;0.01;False;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
360;0.01;False;0.01;True;0.0;True;0.1;True;0.065033345;0.11;True;0.071755365;0.07;True;0.04;True;0.03;True;ERR;ERR;ERR
361;0.01;False;0.01;False;0.0;False;1.69;False;0.18393048000000012;18.05;False;0.21152460799999773;0.08;False;0.04;False;0.04;False;ERR;ERR;ERR
362;0.0;True;0.01;True;0.01;True;0.13;True;0.097472006;0.14;True;0.10848073899999999;0.06;True;ERR;ERR;0.04;True;ERR;ERR;ERR
363;0.01;False;0.01;False;0.01;False;1.04;False;0.1908988490000001;11.46;False;0.2206910680000007;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
